code,name,entry_date,exit_date,entry_px,qty,cost,proceeds,pnl,ret,reason,partial_tp,hold_days,entry_r,regime_r,streak_r,capped,success
178920,PI첨단소재,2017-11-24,2017-11-28,51600.0,253,13069814.978219999,11975008.693111198,-1094806.285108801,-0.0837660125206994,STOP_INTRA,False,4,4.0,3.0,1,True,False
068270,셀트리온,2017-11-16,2017-11-30,164043.0,103,16915862.42781435,15498888.083887624,-1416974.343926726,-0.08376601252069943,STOP_INTRA,False,14,4.0,3.0,1,True,False
046890,서울반도체,2017-10-10,2017-12-01,26800.0,494,13254427.065879999,15047208.913815001,1792781.8479350023,0.13525909788662557,MA20_EXIT,True,52,3.0,2.0,1,False,True
039130,하나투어,2017-10-30,2017-12-01,98172.0,136,13366748.1035088,14239257.836652001,872509.7331432011,0.0652746446919401,MA20_EXIT,False,32,3.0,2.0,1,False,False
034230,파라다이스,2017-11-08,2017-12-06,23700.0,535,12694083.326925,13495596.669225,801513.3422999997,0.06314070277134043,MA20_EXIT,False,28,4.0,3.0,1,True,False
028050,삼성E&A,2017-12-04,2017-12-08,14000.0,1281,17954626.790099997,16450639.297596,-1503987.492503997,-0.08376601252069917,STOP_INTRA,False,4,4.0,3.0,1,False,False
003550,LG,2017-11-30,2017-12-08,85964.0,205,17642888.656393,16720994.919098249,-921893.7372947503,-0.052252992990504246,MA20_EXIT,False,8,4.0,3.0,1,False,False
008770,호텔신라,2017-10-26,2017-12-08,69400.0,200,13895964.081999999,17009706.267,3113742.1850000024,0.2240752902516032,MA20_EXIT,True,43,4.0,3.0,1,True,True
120110,코오롱인더,2017-11-29,2017-12-08,85000.0,213,18125823.465749998,17159662.88028,-966160.5854699984,-0.05330298991908566,MA20_EXIT,False,9,4.0,3.0,1,False,False
105630,한세실업,2017-11-20,2017-12-11,29600.0,261,7734485.59884,7208386.482915,-526099.115925,-0.06801992313540582,MA20_EXIT,False,21,4.0,3.0,1,True,False
036570,NC,2017-12-13,2017-12-19,488000.0,35,17099644.562,15667275.521519998,-1432369.040480001,-0.08376601252069937,STOP_INTRA,False,6,4.0,3.0,1,False,False
035760,CJ ENM,2017-12-05,2018-01-02,237300.0,63,14967094.627485,14503815.601065,-463279.0264199991,-0.030953170134252455,MA20_EXIT,False,28,4.0,3.0,1,True,False
095700,제넥신,2018-01-02,2018-01-04,56291.0,306,17244857.3866569,15800324.446888525,-1444532.939768374,-0.0837660125206992,STOP_INTRA,False,2,4.0,3.0,1,False,False
069080,웹젠,2017-12-11,2018-01-05,34450.0,498,17175832.088415,17800667.578934997,624835.4905199967,0.03637876099996603,BEAR_EXIT,True,25,4.0,3.0,1,False,True
039030,이오테크닉스,2017-12-27,2018-01-08,107000.0,163,17461059.766149998,15998416.415153999,-1462643.3509959988,-0.08376601252069926,STOP_INTRA,False,12,4.0,3.0,1,False,False
