date,equity
2018-09-28,99834810.66952561
2018-10-01,100505534.66952561
2018-10-02,100033809.66952561
2018-10-04,100464856.66952561
2018-10-05,99408152.59732361
2018-10-08,97054341.00166875
2018-10-10,97608787.00166875
2018-10-11,94664443.00166875
2018-10-12,94418627.34033747
2018-10-15,94418627.34033747
2018-10-16,94418627.34033747
2018-10-17,94418627.34033747
2018-10-18,94418627.34033747
2018-10-19,94418627.34033747
2018-10-22,94418627.34033747
2018-10-23,94418627.34033747
2018-10-24,94418627.34033747
2018-10-25,94418627.34033747
2018-10-26,94418627.34033747
2018-10-29,94418627.34033747
2018-10-30,94418627.34033747
2018-10-31,94418627.34033747
2018-11-01,94418627.34033747
2018-11-02,94418627.34033747
2018-11-05,94418627.34033747
2018-11-06,94418627.34033747
2018-11-07,94418627.34033747
2018-11-08,94418627.34033747
2018-11-09,94418627.34033747
2018-11-12,94418627.34033747
2018-11-13,94418627.34033747
2018-11-14,94418627.34033747
2018-11-15,94418627.34033747
2018-11-16,94418627.34033747
2018-11-19,94418627.34033747
2018-11-20,94418627.34033747
2018-11-21,94418627.34033747
2018-11-22,94418627.34033747
2018-11-23,94418627.34033747
2018-11-26,94418627.34033747
2018-11-27,94418627.34033747
2018-11-28,94418627.34033747
2018-11-29,94418627.34033747
2018-11-30,94418627.34033747
2018-12-03,94418627.34033747
2018-12-04,94418627.34033747
2018-12-05,94418627.34033747
2018-12-06,94418627.34033747
2018-12-07,94418627.34033747
2018-12-10,94418627.34033747
2018-12-11,94418627.34033747
2018-12-12,94418627.34033747
2018-12-13,94418627.34033747
2018-12-14,94418627.34033747
2018-12-17,94418627.34033747
2018-12-18,94418627.34033747
2018-12-19,94418627.34033747
2018-12-20,94418627.34033747
2018-12-21,94418627.34033747
2018-12-24,94418627.34033747
2018-12-26,94418627.34033747
2018-12-27,94418627.34033747
2018-12-28,94418627.34033747
2019-01-02,94418627.34033747
2019-01-03,94418627.34033747
2019-01-04,94418627.34033747
2019-01-07,94418627.34033747
2019-01-08,94418627.34033747
2019-01-09,94418627.34033747
