code,name,market_code,market
332290,누보,KSQ,코스닥
348340,뉴로메카,KSQ,코스닥
380550,뉴로핏,KSQ,코스닥
060260,뉴보텍,KSQ,코스닥
463020,뉴엔AI,KSQ,코스닥
123840,뉴온,KSQ,코스닥
012340,뉴인텍,KSQ,코스닥
462310,뉴키즈온,KSQ,코스닥
270870,뉴트리,KSQ,코스닥
144960,뉴파워프라즈마,KSQ,코스닥
085670,뉴프렉스,KSQ,코스닥
064260,다날,KSQ,코스닥
340360,다보링크,KSQ,코스닥
039560,다산네트웍스,KSQ,코스닥
208860,다산디엠씨,KSQ,코스닥
154040,다산솔루에타,KSQ,코스닥
058730,다스코,STK,유가증권
030210,다올투자증권,STK,유가증권
023590,다우기술,STK,유가증권
032190,다우데이타,KSQ,코스닥
323350,다원넥스뷰,KSQ,코스닥
068240,다원시스,KSQ,코스닥
145210,다이나믹디자인,STK,유가증권
290660,다이나믹솔루션,KSQ,코스닥
483650,달바글로벌,STK,유가증권
464580,닷밀,KSQ,코스닥
019680,대교,STK,유가증권
006370,대구백화점,STK,유가증권
008060,대덕,STK,유가증권
353200,대덕전자,STK,유가증권
000490,대동,STK,유가증권
020400,대동금속,KSQ,코스닥
008830,대동기어,KSQ,코스닥
048470,대동스틸,KSQ,코스닥
004780,대륙제관,KSQ,코스닥
005750,대림바스,STK,유가증권
017650,대림제지,KSQ,코스닥
006570,대림통상,STK,유가증권
389260,대명에너지,KSQ,코스닥
317850,대모,KSQ,코스닥
290670,대보마그네틱,KSQ,코스닥
078140,대봉엘에스,KSQ,코스닥
065150,대산F&B,KSQ,코스닥
001680,대상,STK,유가증권
084690,대상홀딩스,STK,유가증권
036480,대성미생물,KSQ,코스닥
128820,대성산업,STK,유가증권
117580,대성에너지,STK,유가증권
027830,대성창투,KSQ,코스닥
129920,대성하이텍,KSQ,코스닥
016710,대성홀딩스,STK,유가증권
020180,대신정보통신,KSQ,코스닥
003540,대신증권,STK,유가증권
045390,대아티아이,KSQ,코스닥
009190,대양금속,STK,유가증권
108380,대양전기공업,KSQ,코스닥
014160,대영포장,STK,유가증권
047040,대우건설,STK,유가증권
003090,대웅,STK,유가증권
069620,대웅제약,STK,유가증권
007680,대원,KSQ,코스닥
000430,대원강업,STK,유가증권
048910,대원미디어,KSQ,코스닥
005710,대원산업,KSQ,코스닥
006340,대원전선,STK,유가증권
003220,대원제약,STK,유가증권
024890,대원화성,STK,유가증권
120240,대정화금,KSQ,코스닥
003310,대주산업,KSQ,코스닥
078600,대주전자재료,KSQ,코스닥
393970,대진첨단소재,KSQ,코스닥
012800,대창,STK,유가증권
015230,대창단조,STK,유가증권
096350,대창솔루션,KSQ,코스닥
140520,대창스틸,KSQ,코스닥
131220,대한과학,KSQ,코스닥
010170,대한광통신,KSQ,코스닥
054670,대한뉴팜,KSQ,코스닥
001070,대한방직,STK,유가증권
023910,대한약품,KSQ,코스닥
006650,대한유화,STK,유가증권
001440,대한전선,STK,유가증권
084010,대한제강,STK,유가증권
001790,대한제당,STK,유가증권
001130,대한제분,STK,유가증권
439260,대한조선,STK,유가증권
003490,대한항공,STK,유가증권
005880,대한해운,STK,유가증권
003830,대한화섬,STK,유가증권
016090,대현,STK,유가증권
069460,대호에이엘,STK,유가증권
021040,대호특수강,KSQ,코스닥
067080,대화제약,KSQ,코스닥
298540,더네이쳐홀딩스,KSQ,코스닥
032860,더라미,KSQ,코스닥
475560,더본코리아,STK,유가증권
192080,더블유게임즈,STK,유가증권
393890,더블유씨피,KSQ,코스닥
299170,더블유에스아이,KSQ,코스닥
462860,더즌,KSQ,코스닥
224060,더코디,KSQ,코스닥
043090,더테크놀로지,KSQ,코스닥
403850,더핑크퐁컴퍼니,KSQ,코스닥
213420,덕산네오룩스,KSQ,코스닥
317330,덕산테코피아,KSQ,코스닥
077360,덕산하이메탈,KSQ,코스닥
004830,덕성,STK,유가증권
090410,덕신이피씨,KSQ,코스닥
0001A0,덕양에너젠,KSQ,코스닥
263600,덕우전자,KSQ,코스닥
194480,데브시스터즈,KSQ,코스닥
373160,데이원컴퍼니,KSQ,코스닥
263800,데이타솔루션,KSQ,코스닥
206560,덱스터,KSQ,코스닥
261200,덴티스,KSQ,코스닥
145720,덴티움,STK,유가증권
484120,도우인시스,KSQ,코스닥
067990,도이치모터스,KSQ,코스닥
002150,도화엔지니어링,STK,유가증권
006620,동구바이오제약,KSQ,코스닥
100130,동국S&C,KSQ,코스닥
005160,동국산업,KSQ,코스닥
303810,동국생명과학,KSQ,코스닥
460850,동국씨엠,STK,유가증권
075970,동국알앤에스,KSQ,코스닥
460860,동국제강,STK,유가증권
086450,동국제약,KSQ,코스닥
001230,동국홀딩스,STK,유가증권
023450,동남합성,STK,유가증권
004140,동방,STK,유가증권
240550,동방메디컬,KSQ,코스닥
099410,동방선기,KSQ,코스닥
007590,동방아그로,STK,유가증권
005960,동부건설,STK,유가증권
026960,동서,STK,유가증권
002210,동성제약,STK,유가증권
102260,동성케미컬,STK,유가증권
033500,동성화인텍,KSQ,코스닥
025950,동신건설,KSQ,코스닥
000640,동아쏘시오홀딩스,STK,유가증권
170900,동아에스티,STK,유가증권
088130,동아엘텍,KSQ,코스닥
028100,동아지질,STK,유가증권
001520,동양,STK,유가증권
084670,동양고속,STK,유가증권
082640,동양생명,STK,유가증권
060380,동양에스텍,KSQ,코스닥
079960,동양이엔피,KSQ,코스닥
228340,동양파일,KSQ,코스닥
088910,동우팜투테이블,KSQ,코스닥
094170,동운아나텍,KSQ,코스닥
013120,동원개발,KSQ,코스닥
018500,동원모빌리티,STK,유가증권
006040,동원산업,STK,유가증권
030720,동원수산,STK,유가증권
014820,동원시스템즈,STK,유가증권
111380,동인기연,STK,유가증권
163560,동일고무벨트,STK,유가증권
109860,동일금속,KSQ,코스닥
032960,동일기연,KSQ,코스닥
004890,동일산업,STK,유가증권
023790,동일스틸럭스,KSQ,코스닥
002690,동일제강,STK,유가증권
005290,동진쎄미켐,KSQ,코스닥
025900,동화기업,KSQ,코스닥
000020,동화약품,STK,유가증권
000150,두산,STK,유가증권
454910,두산로보틱스,STK,유가증권
241560,두산밥캣,STK,유가증권
034020,두산에너빌리티,STK,유가증권
131970,두산테스나,KSQ,코스닥
336260,두산퓨얼셀,STK,유가증권
016740,두올,STK,유가증권
073190,듀오백,KSQ,코스닥
176750,듀켐바이오,KSQ,코스닥
030350,드래곤플라이,KSQ,코스닥
203650,드림시큐리티,KSQ,코스닥
223250,드림씨아이에스,KSQ,코스닥
060570,드림어스컴퍼니,KSQ,코스닥
362990,드림인사이트,KSQ,코스닥
192650,드림텍,STK,유가증권
